epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,2365.84,0.68928,0.56068,1.15161,0.78629,0.73298,0.75844,0.52703,1.44805,1.23369,2.21083,0.000412749,0.000412749,0.000412749
154,2380.1,0.70322,0.59014,1.17142,0.7993,0.73429,0.77238,0.52298,1.42751,1.11048,2.16923,0.000404498,0.000404498,0.000404498
155,2395.03,0.7103,0.5653,1.16637,0.85134,0.72293,0.78598,0.53172,1.44856,1.16723,2.18765,0.000396246,0.000396246,0.000396246
156,2410.07,0.70652,0.56417,1.1532,0.84067,0.73459,0.79257,0.54633,1.37854,1.12408,2.10524,0.000387994,0.000387994,0.000387994
157,2424.69,0.67305,0.54758,1.1407,0.83093,0.72739,0.76392,0.52909,1.42911,1.16174,2.13109,0.000379743,0.000379743,0.000379743
158,2439.8,0.67212,0.56024,1.14692,0.80141,0.73512,0.75511,0.52286,1.45526,1.1982,2.16002,0.000371491,0.000371491,0.000371491
159,2454.55,0.69465,0.56889,1.15512,0.86308,0.69995,0.77234,0.54108,1.43986,1.1398,2.16693,0.000363239,0.000363239,0.000363239
160,2470.11,0.66959,0.55927,1.13498,0.8569,0.75907,0.78525,0.53968,1.44371,1.14173,2.19587,0.000354988,0.000354988,0.000354988
161,2484.58,0.68422,0.53079,1.14649,0.83392,0.76985,0.78346,0.5336,1.46256,1.16971,2.19868,0.000346736,0.000346736,0.000346736
162,2499.97,0.67546,0.55861,1.14744,0.86628,0.71425,0.79027,0.5438,1.4228,1.10709,2.14788,0.000338484,0.000338484,0.000338484
163,2514.51,0.65397,0.53777,1.13679,0.82093,0.79834,0.80475,0.56086,1.42288,1.11899,2.13628,0.000330233,0.000330233,0.000330233
164,2529.6,0.67047,0.55745,1.14379,0.82934,0.73185,0.76467,0.53676,1.45547,1.1794,2.20125,0.000321981,0.000321981,0.000321981
165,2544.09,0.64982,0.54308,1.12841,0.8345,0.73494,0.76616,0.52552,1.44542,1.1397,2.24972,0.000313729,0.000313729,0.000313729
166,2559.01,0.65732,0.53516,1.13651,0.87639,0.71126,0.7791,0.53353,1.47278,1.14067,2.27232,0.000305478,0.000305478,0.000305478
167,2573.76,0.69222,0.58433,1.1594,0.87331,0.72739,0.7817,0.54621,1.41009,1.09489,2.19286,0.000297226,0.000297226,0.000297226
168,2589.7,0.65457,0.52532,1.13308,0.81876,0.76325,0.77713,0.54236,1.42856,1.13324,2.21486,0.000288974,0.000288974,0.000288974
169,2604.96,0.67089,0.55677,1.14876,0.83848,0.75549,0.77327,0.5274,1.45115,1.12591,2.2153,0.000280723,0.000280723,0.000280723
170,2620.34,0.65577,0.54606,1.12337,0.85222,0.73922,0.76828,0.53839,1.42224,1.14701,2.15291,0.000272471,0.000272471,0.000272471
171,2635.46,0.65441,0.5235,1.14842,0.85843,0.75755,0.7765,0.547,1.40473,1.08053,2.1821,0.00026422,0.00026422,0.00026422
